iter	Passed	Remaining
738	5350	1889
739	5358	1882
740	5364	1875
741	5372	1868
742	5379	1860
743	5386	1853
744	5393	1845
745	5399	1838
746	5407	1831
747	5414	1824
748	5421	1816
749	5427	1809
750	5435	1802
751	5442	1794
752	5449	1787
753	5455	1780
754	5462	1772
755	5469	1765
756	5475	1757
757	5482	1750
758	5489	1743
759	5496	1735
760	5505	1729
761	5513	1721
762	5520	1714
763	5526	1707
764	5533	1699
765	5539	1692
766	5549	1685
767	5555	1678
768	5562	1670
769	5569	1663
770	5575	1656
771	5583	1649
772	5590	1641
773	5596	1634
774	5603	1626
775	5611	1619
776	5617	1612
777	5624	1604
778	5631	1597
779	5638	1590
780	5646	1583
781	5652	1575
782	5659	1568
783	5666	1561
784	5672	1553
785	5680	1546
786	5689	1539
787	5696	1532
788	5704	1525
789	5711	1518
790	5720	1511
791	5727	1504
792	5734	1496
793	5742	1489
794	5750	1482
795	5760	1476
796	5768	1469
797	5776	1462
798	5782	1454
799	5789	1447
800	5795	1439
801	5802	1432
802	5809	1425
803	5815	1417
804	5824	1410
805	5831	1403
806	5837	1396
807	5845	1389
808	5854	1382
809	5861	1375
810	5868	1367
811	5876	1360
812	5883	1353
813	5890	1345
814	5897	1338
815	5904	1331
816	5911	1324
817	5918	1316
818	5926	1309
819	5933	1302
820	5940	1295
821	5947	1287
822	5953	1280
823	5959	1272
824	5965	1265
825	5972	1258
826	5978	1250
827	5985	1243
828	5992	1236
829	5999	1228
830	6008	1221
831	6015	1214
832	6022	1207
833	6028	1199
834	6036	1192
835	6042	1185
836	6050	1178
837	6057	1171
838	6064	1163
839	6071	1156
840	6079	1149
841	6085	1141
842	6092	1134
843	6102	1127
844	6109	1120
845	6116	1113
846	6123	1106
847	6130	1098
848	6138	1091
849	6146	1084
850	6152	1077
851	6158	1069
852	6165	1062
853	6173	1055
854	6182	1048
855	6190	1041
856	6201	1034
857	6209	1027
858	6217	1020
859	6225	1013
860	6233	1006
861	6239	998
862	6246	991
863	6254	984
864	6263	977
865	6271	970
866	6280	963
867	6289	956
868	6296	949
869	6303	941
870	6310	934
871	6318	927
872	6326	920
873	6333	913
874	6340	905
875	6348	898
876	6355	891
877	6362	884
878	6371	877
879	6379	869
880	6387	862
881	6395	855
882	6402	848
883	6410	841
884	6418	834
885	6425	826
886	6432	819
887	6438	812
888	6446	804
889	6454	797
890	6462	790
891	6470	783
892	6478	776
893	6485	769
894	6493	761
895	6500	754
896	6510	747
897	6516	740
898	6523	732
899	6530	725
900	6536	718
901	6543	710
902	6550	703
903	6558	696
904	6566	689
905	6572	681
906	6579	674
907	6587	667
908	6594	660
909	6603	653
910	6610	645
911	6617	638
912	6625	631
913	6631	623
914	6639	616
915	6646	609
916	6653	602
917	6660	594
918	6668	587
919	6676	580
920	6686	573
921	6694	566
922	6702	559
923	6709	551
924	6718	544
925	6725	537
926	6734	530
927	6741	523
928	6747	515
929	6756	508
930	6763	501
931	6770	493
932	6777	486
933	6784	479
934	6790	472
935	6798	464
936	6805	457
937	6812	450
938	6819	443
939	6826	435
940	6833	428
941	6839	421
942	6846	413
943	6854	406
944	6860	399
945	6869	392
946	6878	384
947	6885	377
948	6892	370
949	6898	363
950	6904	355
951	6911	348
952	6918	341
953	6925	333
954	6932	326
955	6938	319
956	6946	312
957	6953	304
958	6962	297
959	6969	290
960	6976	283
961	6985	275
962	6992	268
963	6999	261
964	7006	254
965	7014	246
966	7020	239
967	7027	232
968	7034	225
969	7041	217
970	7049	210
971	7055	203
972	7063	195
973	7070	188
974	7077	181
975	7084	174
976	7091	166
977	7098	159
978	7105	152
979	7112	145
980	7119	137
981	7125	130
982	7132	123
983	7139	116
984	7147	108
985	7156	101
986	7164	94
987	7173	87
988	7180	79
989	7187	72
990	7195	65
991	7203	58
992	7211	50
993	7221	43
994	7228	36
995	7235	29
996	7245	21
997	7253	14
998	7261	7
999	7269	0
